id,Date,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct,Year,Month,DayOfWeek,DayOfYear,Quarter,created_at
164,2025-06-13 00:00:00,145.0,45177.189999999995,311.56682758620684,133.2660471976401,42.772861356932154,2025,6,4,164,2,2025-08-17 08:40:34
165,2025-06-14 00:00:00,146.0,45628.47,312.52376712328766,134.59725663716816,43.067846607669615,2025,6,5,165,2,2025-08-17 08:40:34
166,2025-06-15 00:00:00,154.0,48307.62,313.68584415584417,142.50035398230088,45.42772861356932,2025,6,6,166,2,2025-08-17 08:40:34
167,2025-06-16 00:00:00,179.0,63996.21,357.5207262569832,188.77938053097344,52.8023598820059,2025,6,0,167,2,2025-08-17 08:40:34
168,2025-06-17 00:00:00,191.0,62680.69,328.17115183246074,184.89879056047198,56.342182890855455,2025,6,1,168,2,2025-08-17 08:40:34
169,2025-06-18 00:00:00,183.0,59171.840000000004,323.3433879781421,174.54820058997052,53.98230088495575,2025,6,2,169,2,2025-08-17 08:40:34
170,2025-06-19 00:00:00,178.0,56334.369999999995,316.4852247191011,166.1780825958702,52.50737463126843,2025,6,3,170,2,2025-08-17 08:40:34
171,2025-06-20 00:00:00,165.0,53396.17999999999,323.6132121212121,157.5108554572271,48.67256637168141,2025,6,4,171,2,2025-08-17 08:40:34
172,2025-06-21 00:00:00,155.0,48195.810000000005,310.94070967741936,142.17053097345135,45.72271386430678,2025,6,5,172,2,2025-08-17 08:40:34
173,2025-06-22 00:00:00,136.0,43572.89,320.38889705882355,128.53359882005898,40.117994100294986,2025,6,6,173,2,2025-08-17 08:40:34
174,2025-06-23 00:00:00,139.0,49387.84999999999,355.3082733812949,145.68687315634216,41.00294985250738,2025,6,0,174,2,2025-08-17 08:40:34
175,2025-06-24 00:00:00,132.0,41669.27,315.67628787878783,122.9182005899705,38.93805309734513,2025,6,1,175,2,2025-08-17 08:40:34
176,2025-06-25 00:00:00,130.0,40338.700000000004,310.29769230769233,118.99321533923305,38.34808259587021,2025,6,2,176,2,2025-08-17 08:40:34
177,2025-06-26 00:00:00,145.0,44997.520000000004,310.32772413793106,132.73604719764012,42.772861356932154,2025,6,3,177,2,2025-08-17 08:40:34
178,2025-06-27 00:00:00,168.0,51075.63,304.02160714285714,150.66557522123892,49.557522123893804,2025,6,4,178,2,2025-08-17 08:40:34
179,2025-06-28 00:00:00,144.0,44781.15000000001,310.9802083333334,132.0977876106195,42.47787610619469,2025,6,5,179,2,2025-08-17 08:40:34
180,2025-06-29 00:00:00,128.0,40446.46000000001,315.98796875000005,119.31109144542775,37.75811209439528,2025,6,6,180,2,2025-08-17 08:40:34
181,2025-06-30 00:00:00,137.0,44103.44,321.9229197080292,130.0986430678466,40.41297935103245,2025,6,0,181,2,2025-08-17 08:40:34
182,2025-07-01 00:00:00,173.0,52600.2,304.04739884393064,155.16283185840706,51.03244837758112,2025,7,1,182,3,2025-08-17 08:40:34
183,2025-07-02 00:00:00,164.0,52792.409999999996,321.9049390243902,155.72982300884954,48.37758112094395,2025,7,2,183,3,2025-08-17 08:40:34
184,2025-07-03 00:00:00,192.0,63453.38,330.4863541666667,187.17811209439526,56.63716814159292,2025,7,3,184,3,2025-08-17 08:40:34
185,2025-07-04 00:00:00,157.0,52469.81000000001,334.20261146496824,154.77820058997054,46.312684365781706,2025,7,4,185,3,2025-08-17 08:40:34
186,2025-07-05 00:00:00,143.0,50174.36,350.8696503496503,148.0069616519174,42.18289085545723,2025,7,5,186,3,2025-08-17 08:40:34
